no,PH,date
2409,7.609,2022-08-26 13:34:25
2408,7.607,2022-08-26 13:34:15
2407,7.617,2022-08-26 13:34:05
2406,7.638,2022-08-26 13:33:55
2405,7.643,2022-08-26 13:33:45
2404,7.643,2022-08-26 13:33:35
2403,7.614,2022-08-26 13:33:25
2402,7.614,2022-08-26 13:33:15
2401,7.634,2022-08-26 13:33:05
2400,7.648,2022-08-26 13:32:55
2399,7.623,2022-08-26 13:32:45
2398,7.614,2022-08-26 13:32:35
2397,7.616,2022-08-26 13:32:25
2396,7.627,2022-08-26 13:32:15
2395,7.644,2022-08-26 13:32:05
2394,7.651,2022-08-26 13:31:55
2393,7.63,2022-08-26 13:31:45
2392,7.618,2022-08-26 13:31:35
2391,7.65,2022-08-26 13:31:25
2390,7.656,2022-08-26 13:31:15
2389,7.655,2022-08-26 13:31:05
2388,7.636,2022-08-26 13:30:55
2387,7.621,2022-08-26 13:30:45
2386,7.634,2022-08-26 13:30:35
2385,7.648,2022-08-26 13:30:25
2384,7.657,2022-08-26 13:30:15
2383,7.643,2022-08-26 13:30:05
2382,7.63,2022-08-26 13:29:55
2381,7.623,2022-08-26 13:29:45
2380,7.63,2022-08-26 13:29:35
2379,7.641,2022-08-26 13:29:25
2378,7.659,2022-08-26 13:29:15
2377,7.655,2022-08-26 13:29:05
2376,7.657,2022-08-26 13:28:55
2375,7.655,2022-08-26 13:28:45
2374,7.653,2022-08-26 13:28:35
2373,7.657,2022-08-26 13:28:25
2372,7.658,2022-08-26 13:28:15
2371,7.644,2022-08-26 13:28:05
2370,7.631,2022-08-26 13:27:55
2369,7.622,2022-08-26 13:27:45
2368,7.63,2022-08-26 13:27:35
2367,7.63,2022-08-26 13:27:25
2366,7.628,2022-08-26 13:27:15
2365,7.635,2022-08-26 13:27:05
2364,7.656,2022-08-26 13:26:55
2363,7.655,2022-08-26 13:26:45
2362,7.644,2022-08-26 13:26:35
2361,7.627,2022-08-26 13:26:25
2360,7.648,2022-08-26 13:26:15
2359,7.663,2022-08-26 13:26:05
